LATITUDE,LONGITUDE,FIRE_SIZE,date
34.00305556,-111.35555556,0.1,03-2007
30.50777778,-95.58222222,2.0,02-2007
31.28027778,-95.24777778,5.0,02-2007
30.5675,-95.535,2.0,03-2007
37.06666667,-83.85055556,160.0,03-2007
37.07555556,-83.86555556,75.0,03-2007
37.39527778,-89.39277778,4.7,02-2007
37.26083333,-89.46972222,0.5,03-2007
37.46361111,-91.02611111,1.0,03-2007
37.40944444,-91.10916667,2.0,03-2007
37.44277778,-91.09555556,2.0,03-2007
37.47833333,-91.00388889,0.5,03-2007
37.45583333,-88.66833333,0.16,03-2007
37.40055556,-91.11444444,7.0,03-2007
35.6525,-94.05583333,300.0,03-2007
37.56333333,-91.11333333,5.0,03-2007
37.62,-91.35666667,28.0,03-2007
37.75333333,-90.98666667,5.0,03-2007
37.48111111,-90.13833333,30.0,03-2007
34.68638889,-94.30055556,45.0,03-2007
35.60805556,-94.43305556,112.0,03-2007
38.57361111,-79.13861111,10.0,03-2007
37.96972222,-90.96777778,84.0,03-2007
33.23777778,-79.62555556,1.7,02-2007
34.86388889,-83.64194444,3.8,03-2007
34.87194444,-84.46027778,14.0,02-2007
34.85972222,-83.6375,3.3,03-2007
34.83361111,-83.40722222,0.51,03-2007
34.96138889,-84.57888889,35.0,03-2007
35.34666667,-83.7925,3.0,03-2007
35.34472222,-111.73777778,0.1,02-2007
35.41611111,-83.85444444,5.0,03-2007
35.34333333,-83.81444444,1.0,03-2007
45.94388889,-112.23694444,0.1,03-2007
45.92583333,-112.40305556,0.1,03-2007
34.92472222,-83.54,0.1,03-2007
34.9275,-83.54388889,0.2,03-2007
34.93166667,-83.54861111,39.0,03-2007
34.95027778,-83.55222222,3.1,03-2007
34.95361111,-83.55861111,4.9,03-2007
34.94305556,-83.54833333,0.05,03-2007
34.96388889,-83.29888889,3.04,03-2007
34.32194444,-118.32861111,0.1,02-2007
40.73472222,-123.25,0.1,01-2007
34.36,-118.3975,0.1,02-2007
34.29944444,-118.24833333,0.1,01-2007
34.20944444,-118.01888889,0.1,01-2007
36.79555556,-92.68472222,84.0,02-2007
36.67138889,-92.81111111,4.2,03-2007
37.75444444,-83.9275,0.25,03-2007
37.86166667,-89.46583333,4.5,03-2007
37.6475,-89.34194444,31.0,03-2007
37.56277778,-89.32611111,4.5,03-2007
34.17527778,-117.89027778,0.1,02-2007
33.8875,-116.61583333,0.1,02-2007
36.91888889,-82.66055556,93.0,03-2007
34.52944444,-94.54277778,300.0,03-2007
38.30333333,-86.62027778,13.41,03-2007
38.30416667,-86.59611111,4.0,03-2007
38.48166667,-86.50833333,2.0,03-2007
38.99222222,-86.4825,10.0,03-2007
39.00666667,-86.15777778,1.0,03-2007
37.5475,-89.33194444,18.0,03-2007
34.50583333,-111.47916667,6.0,03-2007
35.13194444,-84.05277778,5.0,03-2007
35.09194444,-83.78166667,5.0,03-2007
35.25,-93.66,0.01,03-2007
35.22083333,-111.61777778,0.1,03-2007
37.03555556,-91.33916667,25.0,03-2007
37.03805556,-91.35305556,4.0,03-2007
37.63361111,-79.36305556,2.5,01-2007
37.03805556,-91.35388889,5.0,03-2007
37.80166667,-79.2875,1.0,02-2007
36.78583333,-91.12638889,5.0,03-2007
36.96583333,-91.33888889,2.75,03-2007
36.97444444,-91.25305556,0.25,03-2007
35.145,-84.16972222,20.0,03-2007
36.88916667,-91.32888889,0.25,03-2007
35.11638889,-84.05,0.5,03-2007
36.93083333,-91.27222222,25.5,03-2007
35.13472222,-84.11194444,0.25,03-2007
31.42944444,-110.31138889,9.0,03-2007
36.64833333,-90.97722222,5.0,03-2007
37.04083333,-91.38166667,96.5,03-2007
36.96527778,-90.4625,5.0,03-2007
36.81666667,-90.50166667,54.75,03-2007
37.56333333,-90.97805556,11.0,03-2007
36.84027778,-90.39138889,15.25,03-2007
36.83555556,-90.38722222,43.0,03-2007
37.03166667,-90.70916667,14.25,03-2007
36.95361111,-90.56222222,3.0,03-2007
36.78361111,-92.72611111,340.0,03-2007
36.93194444,-91.385,84.0,03-2007
36.73416667,-91.0675,16.5,03-2007
36.96583333,-91.33861111,0.5,03-2007
37.03916667,-91.34805556,0.75,03-2007
37.03555556,-91.34444444,1.25,03-2007
37.03805556,-91.3525,1.0,03-2007
37.03805556,-91.35333333,1.0,03-2007
34.19055556,-111.33,0.1,03-2007
36.93083333,-91.09444444,10.0,03-2007
36.14,-92.33861111,0.6,03-2007
34.50694444,-118.02638889,0.1,01-2007
34.67277778,-118.76888889,0.1,01-2007
34.53472222,-118.36583333,0.1,01-2007
34.42777778,-118.35138889,0.1,01-2007
34.34916667,-117.83333333,0.1,01-2007
34.57638889,-118.69194444,0.1,01-2007
34.58,-118.70277778,1.0,01-2007
34.38666667,-117.71416667,0.1,01-2007
34.42277778,-117.61166667,4.0,02-2007
34.42694444,-118.41944444,0.1,02-2007
34.53861111,-118.64861111,0.1,02-2007
34.47111111,-118.31694444,0.2,03-2007
34.54861111,-118.66666667,0.1,03-2007
34.44527778,-118.36111111,27.0,03-2007
35.65472222,-82.44,3.0,03-2007
36.86111111,-84.39777778,30.0,03-2007
34.96638889,-83.17527778,2.9,03-2007
34.62944444,-83.42777778,12.3,03-2007
36.87555556,-84.41555556,0.5,03-2007
36.53333333,-84.43333333,4.0,03-2007
36.71694444,-84.35777778,0.5,03-2007
34.62888889,-83.36916667,6.3,03-2007
36.83027778,-84.5425,4.0,03-2007
34.94777778,-83.82722222,15.0,03-2007
36.84444444,-84.36944444,4.0,03-2007
36.74861111,-84.44583333,0.5,03-2007
36.88222222,-84.35916667,8.0,03-2007
36.89194444,-84.32861111,0.5,03-2007
33.01,-79.71055556,10.0,03-2007
31.98416667,-92.86694444,3.0,03-2007
31.93805556,-92.82722222,20.0,03-2007
31.07333333,-92.55805556,35.0,03-2007
31.75166667,-92.56444444,20.0,03-2007
31.73611111,-92.56027778,1.0,03-2007
31.00861111,-92.61944444,216.0,03-2007
35.22194444,-82.88388889,8.0,03-2007
34.66194444,-93.89694444,13.0,03-2007
36.73388889,-92.76472222,3.0,03-2007
34.45,-94.0575,1.5,03-2007
36.93111111,-92.89555556,198.0,03-2007
43.92222222,-102.76444444,1.0,03-2007
34.73555556,-76.9325,8.0,03-2007
45.92972222,-112.3925,0.1,03-2007
47.05222222,-94.51611111,0.25,03-2007
43.86833333,-121.40361111,0.1,01-2007
35.28666667,-83.84194444,1.0,03-2007
34.35166667,-111.19666667,1.7,03-2007
39.98444444,-120.95,0.08,03-2007
34.12527778,-111.25805556,0.7,03-2007
38.43111111,-119.03777778,49.0,03-2007
34.38055556,-111.50833333,0.2,03-2007
34.29666667,-110.98666667,0.1,03-2007
37.28138889,-89.43416667,2.2,03-2007
33.95805556,-82.44027778,0.25,03-2007
34.57333333,-85.16888889,117.0,03-2007
36.64916667,-90.8925,0.25,03-2007
48.94805556,-115.10888889,0.7,03-2007
36.76416667,-90.92888889,3.0,03-2007
36.99777778,-91.30027778,2.3,03-2007
37.00083333,-91.03944444,0.5,03-2007
36.815,-91.08388889,1.0,03-2007
36.82277778,-90.38194444,14.0,03-2007
33.36361111,-79.87527778,74.0,03-2007
42.7175,-102.93055556,0.1,03-2007
31.32361111,-95.26583333,31.0,03-2007
33.3325,-97.57111111,0.1,03-2007
30.51861111,-95.15777778,2.0,03-2007
33.92833333,-82.44027778,17.7,03-2007
33.95194444,-82.39222222,0.24,03-2007
34.14472222,-82.26333333,17.3,03-2007
41.23055556,-105.43055556,0.01,03-2007
34.29,-110.80805556,0.5,03-2007
34.20777778,-110.96638889,2.0,03-2007
47.23638889,-115.02944444,0.1,03-2007
32.77027778,-105.60694444,0.1,03-2007
37.45777778,-91.97583333,50.0,03-2007
35.16805556,-84.00083333,3.0,03-2007
35.14611111,-84.14222222,5.0,03-2007
35.18777778,-83.8075,1.0,03-2007
35.13833333,-84.07444444,30.0,03-2007
35.14888889,-84.17611111,10.0,03-2007
33.74027778,-111.49833333,0.1,03-2007
37.42777778,-90.22027778,7.0,04-2007
35.41944444,-83.715,2.0,03-2007
31.46138889,-92.55583333,1.0,03-2007
31.41861111,-93.17972222,3.0,03-2007
33.5475,-111.64638889,0.1,03-2007
31.67416667,-92.46888889,25.0,03-2007
31.22055556,-92.72305556,1.0,03-2007
34.26805556,-94.58416667,9071.0,03-2007
34.74611111,-94.50611111,15.0,03-2007
35.56944444,-92.71944444,161.0,03-2007
34.75805556,-76.95027778,0.1,03-2007
33.49944444,-111.46277778,0.1,03-2007
34.91666667,-76.68333333,150.0,03-2007
37.84111111,-79.97083333,2.7,04-2007
38.53472222,-120.51777778,0.1,04-2007
34.8075,-76.88,1.5,03-2007
33.50222222,-111.68361111,0.1,03-2007
31.76138889,-92.4375,2.0,03-2007
31.22194444,-92.59666667,2.0,03-2007
36.10972222,-92.33138889,112.0,03-2007
35.16194444,-83.28055556,75.0,02-2007
37.04944444,-83.79166667,35.0,02-2007
33.03777778,-79.63722222,8.8,03-2007
36.76027778,-92.82861111,5.0,03-2007
33.65305556,-111.56,0.1,03-2007
36.76527778,-92.64166667,0.25,03-2007
36.74388889,-92.82944444,41.5,03-2007
36.75611111,-92.84333333,5.0,03-2007
35.2825,-83.42805556,180.0,02-2007
35.00333333,-83.34972222,2.0,03-2007
34.99583333,-83.36361111,2.0,02-2007
43.815,-85.92027778,8.0,03-2007
37.86055556,-79.62194444,0.01,03-2007
44.17361111,-86.27972222,0.1,03-2007
43.96361111,-86.08277778,4.0,03-2007
35.28305556,-83.17472222,70.0,03-2007
35.20416667,-83.26722222,160.0,02-2007
43.94666667,-85.9625,0.5,03-2007
43.92611111,-85.855,3.0,04-2007
43.38722222,-85.6425,4.0,03-2007
35.15611111,-83.63527778,0.5,03-2007
35.1525,-83.57527778,0.5,03-2007
32.77444444,-105.50305556,3.5,04-2007
37.43111111,-91.2625,56.0,04-2007
34.61388889,-93.56527778,1.0,03-2007
34.54861111,-93.58861111,3.5,04-2007
34.53944444,-93.26416667,0.5,04-2007
34.45861111,-94.01777778,14.0,03-2007
34.44611111,-93.36277778,15.75,03-2007
37.24111111,-89.44722222,0.1,04-2007
37.87222222,-91.94555556,273.0,03-2007
37.62444444,-92.04666667,240.0,04-2007
48.88861111,-115.14305556,3.8,03-2007
35.96944444,-81.87777778,6.0,03-2007
42.7175,-102.93055556,0.1,03-2007
36.92444444,-91.26722222,83.0,04-2007
35.95888889,-81.61944444,1.0,03-2007
35.99111111,-81.72166667,3.0,03-2007
35.87083333,-81.84444444,1.0,03-2007
36.78,-90.97333333,292.0,04-2007
36.02138889,-81.65694444,1.5,03-2007
35.90805556,-81.83611111,0.5,03-2007
37.03333333,-83.7975,21.0,02-2007
36.09,-81.82083333,0.1,04-2007
35.80527778,-82.00555556,3.0,04-2007
36.96472222,-91.34555556,11.0,04-2007
37.41472222,-90.52222222,207.0,04-2007
37.06583333,-83.77833333,30.0,02-2007
37.04972222,-83.74694444,50.0,03-2007
37.21416667,-102.02666667,25.0,03-2007
34.38027778,-111.47166667,0.5,04-2007
35.32388889,-111.48083333,0.1,03-2007
35.32305556,-111.48638889,0.1,03-2007
36.95972222,-84.20472222,2.0,03-2007
37.03111111,-83.48361111,2.0,03-2007
29.17388889,-81.8075,19.0,03-2007
35.33611111,-83.73277778,13.0,04-2007
29.12722222,-81.91,0.1,03-2007
33.36583333,-83.48527778,10.0,04-2007
36.87861111,-84.29277778,0.1,03-2007
37.44666667,-84.08611111,0.6,03-2007
47.08388889,-114.45472222,2.0,03-2007
34.68027778,-94.31583333,4.7,04-2007
35.72861111,-94.29472222,25.0,04-2007
33.81583333,-111.27777778,0.75,04-2007
37.17944444,-89.29333333,3.2,04-2007
39.75,-121.46972222,0.1,03-2007
39.75,-121.46972222,0.01,03-2007
39.1375,-122.80666667,15.0,04-2007
36.72166667,-92.71888889,15.5,03-2007
45.6875,-118.03805556,0.1,04-2007
43.96388889,-121.4425,0.1,03-2007
43.81611111,-121.48388889,0.5,03-2007
43.70944444,-121.34222222,0.1,03-2007
37.20833333,-83.68333333,120.0,03-2007
44.44888889,-121.03444444,1.5,03-2007
34.49527778,-83.49027778,0.25,04-2007
37.0225,-83.47027778,134.0,03-2007
37.41166667,-92.3275,46.0,04-2007
37.63166667,-90.79138889,5.0,04-2007
37.51583333,-90.14833333,8.3,04-2007
44.205,-103.49555556,0.1,04-2007
34.30694444,-118.26305556,0.1,03-2007
37.38722222,-84.07,22.0,03-2007
37.12472222,-84.24472222,1.0,03-2007
37.3875,-84.07,0.1,03-2007
38.26527778,-86.65388889,4.2,04-2007
36.69166667,-92.85944444,177.0,04-2007
36.62888889,-92.60138889,86.0,04-2007
36.66805556,-92.82722222,8.0,04-2007
36.69083333,-92.79,2.0,04-2007
36.62805556,-92.79944444,91.0,04-2007
47.01972222,-114.51111111,0.1,04-2007
47.0675,-114.36083333,0.1,03-2007
30.32805556,-82.31277778,1.0,03-2007
35.84111111,-82.77138889,12.0,03-2007
47.10222222,-114.76805556,3.0,04-2007
35.93444444,-82.74555556,1.5,04-2007
44.50694444,-83.89083333,9.0,03-2007
44.54805556,-83.66611111,0.1,03-2007
44.40166667,-83.73361111,7.2,03-2007
28.9825,-81.73194444,0.1,03-2007
28.98166667,-81.66305556,0.1,03-2007
29.28277778,-81.86777778,33.0,02-2007
34.78333333,-77.11666667,2.0,04-2007
34.80972222,-76.87138889,6.0,04-2007
34.73222222,-76.93055556,6.0,04-2007
36.76833333,-91.30722222,29.0,04-2007
36.99888889,-91.37916667,10.25,04-2007
36.84166667,-91.49055556,199.0,04-2007
36.96722222,-91.26138889,1.2,04-2007
47.02,-94.66388889,1.6,04-2007
47.02305556,-94.66305556,0.1,04-2007
34.84444444,-84.14777778,4.1,03-2007
34.83,-83.39916667,0.1,04-2007
37.92222222,-91.17361111,1.3,03-2007
34.80388889,-83.53861111,0.25,04-2007
34.88361111,-83.53722222,109.0,04-2007
44.0075,-121.39194444,0.1,04-2007
31.75583333,-92.56555556,15.0,03-2007
31.14388889,-92.07361111,1.0,03-2007
31.2525,-92.69972222,40.0,04-2007
31.25222222,-92.7,1.0,04-2007
43.965,-121.23805556,0.1,04-2007
37.52027778,-83.92638889,855.0,03-2007
34.79611111,-77.09,90.0,04-2007
37.21611111,-83.475,254.0,03-2007
34.53083333,-112.38805556,0.1,04-2007
37.6475,-91.35055556,8.0,04-2007
34.48972222,-118.16638889,15.0,03-2007
37.43388889,-91.25888889,27.0,04-2007
37.77444444,-91.23861111,24.0,04-2007
37.24916667,-83.54638889,63.0,03-2007
36.10027778,-92.31861111,31.0,03-2007
36.04,-92.20638889,21.0,04-2007
34.38611111,-117.7125,0.1,03-2007
34.60694444,-118.29583333,0.1,03-2007
35.23305556,-111.57944444,1.0,04-2007
33.67194444,-111.04083333,0.2,04-2007
43.81888889,-85.84944444,1.8,04-2007
35.15055556,-111.31138889,2.0,03-2007
35.22861111,-111.70972222,0.1,04-2007
43.46055556,-85.61638889,1.0,04-2007
35.255,-111.70666667,2.0,04-2007
38.2,-79.28333333,115.0,03-2007
36.79916667,-90.61444444,23.1,04-2007
36.92666667,-90.46416667,5.1,04-2007
36.83805556,-91.34111111,6.1,04-2007
38.41305556,-79.30416667,0.1,03-2007
40.54916667,-123.1375,0.25,01-2007
40.44416667,-123.06333333,0.01,04-2007
40.62388889,-123.42194444,0.1,04-2007
40.62222222,-123.42277778,0.01,04-2007
39.75527778,-120.59166667,0.8,04-2007
34.99722222,-111.84027778,0.1,04-2007
35.33472222,-111.51472222,0.25,04-2007
35.32972222,-111.515,0.25,04-2007
35.12638889,-111.69305556,1.0,04-2007
37.18722222,-83.33833333,1300.0,03-2007
40.91,-111.86055556,5.6,01-2007
33.14527778,-109.19666667,72.0,02-2007
48.94416667,-115.05916667,3.0,04-2007
36.7775,-91.30888889,328.0,04-2007
48.43638889,-115.59138889,3.75,04-2007
48.98111111,-115.05861111,31.6,04-2007
35.01611111,-93.40055556,7.0,04-2007
34.68305556,-93.18361111,2.2,04-2007
35.96583333,-112.10805556,0.1,04-2007
37.19722222,-83.49722222,586.0,03-2007
47.06694444,-94.505,0.1,04-2007
44.24,-85.96277778,2.0,04-2007
47.67527778,-94.655,0.01,04-2007
35.31277778,-83.78277778,0.25,04-2007
35.29333333,-83.77305556,50.0,04-2007
34.07805556,-111.70666667,0.1,01-2007
37.06722222,-83.6575,93.0,03-2007
47.05888889,-93.91638889,0.1,04-2007
37.10583333,-83.44861111,1.0,03-2007
